Unnamed: 0,status,founded_at,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,isClosed,active_days,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_BRA,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_IRL,country_code_ISR,country_code_NLD,country_code_USA,country_code_other
224,1,2005,5.0,37570663.0,2.0,4.0,38.040583700000006,-84.50371640000002,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
226,1,2008,5.0,125371133.0,1.0,2.0,51.5073509,-0.1277583,1,9125.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,1,2002,5.0,125371133.0,1.0,4.0,40.4167754,-3.7037902,1,5110.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231,4,1969,5.0,125371133.0,2.0,27.0,34.7464809,-92.2895948,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
238,1,2010,5.0,125371133.0,1.0,4.0,13.0826802,80.2707184,1,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
243,2,2008,5.0,142000000.0,3.0,38.0,37.7749295,-122.4194155,0,3650.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,1,2009,5.0,125371133.0,1.0,5.0,37.566535,126.9779692,1,5840.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
246,1,2008,5.0,125371133.0,1.0,2.0,32.9628232,-117.0358646,1,5475.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
248,1,2011,5.0,125371133.0,1.0,1.0,41.0082376,28.9783589,1,5110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
249,1,2007,5.0,125371133.0,1.0,2.0,47.6768927,-122.2059833,1,5110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
